ds,unique_id,y
0:00,LaneA21,0
0:00,LaneA67,0
0:00,LaneA3,3
0:00,LaneA17,0
0:01,LaneA21,14
0:01,LaneA67,0
0:01,LaneA3,6
0:01,LaneA17,9
0:02,LaneA21,29
0:02,LaneA67,0
0:02,LaneA3,23
0:02,LaneA17,9
0:03,LaneA21,15
0:03,LaneA67,15
0:03,LaneA3,49
0:03,LaneA17,28
0:04,LaneA21,54
0:04,LaneA67,36
0:04,LaneA3,20
0:04,LaneA17,44
0:05,LaneA21,62
0:05,LaneA67,40
0:05,LaneA3,33
0:05,LaneA17,23
0:06,LaneA21,53
0:06,LaneA67,52
0:06,LaneA3,14
0:06,LaneA17,7
0:07,LaneA21,43
0:07,LaneA67,22
0:07,LaneA3,16
0:07,LaneA17,15
0:08,LaneA21,27
0:08,LaneA67,27
0:08,LaneA3,40
0:08,LaneA17,2
0:09,LaneA21,28
0:09,LaneA67,55
0:09,LaneA3,63
0:09,LaneA17,4
0:10,LaneA21,37
0:10,LaneA67,20
0:10,LaneA3,49
0:10,LaneA17,7
0:11,LaneA21,47
0:11,LaneA67,0
0:11,LaneA3,40
0:11,LaneA17,17
0:12,LaneA21,44
0:12,LaneA67,35
0:12,LaneA3,45
0:12,LaneA17,14
0:13,LaneA21,47
0:13,LaneA67,32
0:13,LaneA3,26
0:13,LaneA17,6
0:14,LaneA21,61
0:14,LaneA67,25
0:14,LaneA3,12
0:14,LaneA17,28
0:15,LaneA21,69
0:15,LaneA67,20
0:15,LaneA3,57
0:15,LaneA17,28
0:16,LaneA21,51
0:16,LaneA67,31
0:16,LaneA3,75
0:16,LaneA17,18
0:17,LaneA21,41
0:17,LaneA67,38
0:17,LaneA3,68
0:17,LaneA17,7
0:18,LaneA21,70
0:18,LaneA67,48
0:18,LaneA3,45
0:18,LaneA17,0
0:19,LaneA21,17
0:19,LaneA67,17
0:19,LaneA3,38
0:19,LaneA17,25
0:20,LaneA21,20
0:20,LaneA67,58
0:20,LaneA3,31
0:20,LaneA17,28
0:21,LaneA21,21
0:21,LaneA67,39
0:21,LaneA3,47
0:21,LaneA17,48
0:22,LaneA21,42
0:22,LaneA67,27
0:22,LaneA3,7
0:22,LaneA17,31
0:23,LaneA21,35
0:23,LaneA67,34
0:23,LaneA3,22
0:23,LaneA17,25
