Say Plaka;Sütun Etiketleri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satýr Etiketleri;LaneA1;LaneA10;LaneA100;LaneA101;LaneA102;LaneA103;LaneA104;LaneA105;LaneA106;LaneA107;LaneA108;LaneA109;LaneA11;LaneA110;LaneA111;LaneA112;LaneA113;LaneA114;LaneA115;LaneA116;LaneA117;LaneA118;LaneA119;LaneA12;LaneA120;LaneA121;LaneA122;LaneA123;LaneA124;LaneA125;LaneA126;LaneA127;LaneA128;LaneA129;LaneA13;LaneA130;LaneA131;LaneA132;LaneA133;LaneA134;LaneA135;LaneA136;LaneA137;LaneA138;LaneA139;LaneA14;LaneA140;LaneA141;LaneA142;LaneA143;LaneA144;LaneA145;LaneA146;LaneA147;LaneA148;LaneA149;LaneA15;LaneA150;LaneA151;LaneA152;LaneA153;LaneA154;LaneA155;LaneA156;LaneA157;LaneA158;LaneA159;LaneA16;LaneA160;LaneA161;LaneA162;LaneA163;LaneA164;LaneA165;LaneA166;LaneA167;LaneA168;LaneA169;LaneA17;LaneA170;LaneA171;LaneA172;LaneA173;LaneA174;LaneA175;LaneA176;LaneA177;LaneA178;LaneA179;LaneA18;LaneA180;LaneA181;LaneA182;LaneA183;LaneA184;LaneA185;LaneA186;LaneA187;LaneA188;LaneA189;LaneA19;LaneA190;LaneA191;LaneA192;LaneA193;LaneA194;LaneA195;LaneA196;LaneA197;LaneA198;LaneA199;LaneA2;LaneA20;LaneA200;LaneA201;LaneA202;LaneA203;LaneA204;LaneA205;LaneA206;LaneA207;LaneA208;LaneA209;LaneA21;LaneA210;LaneA211;LaneA212;LaneA213;LaneA214;LaneA215;LaneA216;LaneA217;LaneA218;LaneA219;LaneA22;LaneA220;LaneA221;LaneA222;LaneA223;LaneA224;LaneA225;LaneA226;LaneA227;LaneA228;LaneA229;LaneA23;LaneA230;LaneA231;LaneA232;LaneA233;LaneA234;LaneA235;LaneA236;LaneA237;LaneA238;LaneA239;LaneA24;LaneA240;LaneA241;LaneA242;LaneA243;LaneA244;LaneA245;LaneA246;LaneA247;LaneA248;LaneA249;LaneA25;LaneA250;LaneA251;LaneA252;LaneA253;LaneA254;LaneA255;LaneA256;LaneA257;LaneA258;LaneA259;LaneA26;LaneA260;LaneA261;LaneA262;LaneA263;LaneA264;LaneA265;LaneA266;LaneA267;LaneA268;LaneA269;LaneA27;LaneA270;LaneA271;LaneA272;LaneA273;LaneA274;LaneA275;LaneA276;LaneA277;LaneA278;LaneA279;LaneA28;LaneA280;LaneA281;LaneA282;LaneA283;LaneA284;LaneA285;LaneA286;LaneA287;LaneA288;LaneA289;LaneA29;LaneA290;LaneA291;LaneA292;LaneA293;LaneA294;LaneA295;LaneA296;LaneA297;LaneA298;LaneA299;LaneA3;LaneA30;LaneA300;LaneA301;LaneA302;LaneA303;LaneA304;LaneA305;LaneA306;LaneA307;LaneA308;LaneA309;LaneA31;LaneA310;LaneA311;LaneA312;LaneA313;LaneA314;LaneA315;LaneA316;LaneA317;LaneA318;LaneA319;LaneA32;LaneA320;LaneA321;LaneA322;LaneA323;LaneA324;LaneA325;LaneA326;LaneA327;LaneA328;LaneA329;LaneA33;LaneA330;LaneA331;LaneA332;LaneA333;LaneA334;LaneA335;LaneA336;LaneA337;LaneA338;LaneA339;LaneA34;LaneA340;LaneA341;LaneA342;LaneA343;LaneA344;LaneA345;LaneA346;LaneA347;LaneA348;LaneA349;LaneA35;LaneA350;LaneA351;LaneA352;LaneA353;LaneA354;LaneA355;LaneA356;LaneA357;LaneA358;LaneA359;LaneA36;LaneA360;LaneA361;LaneA362;LaneA363;LaneA364;LaneA365;LaneA366;LaneA367;LaneA368;LaneA369;LaneA37;LaneA370;LaneA371;LaneA372;LaneA373;LaneA374;LaneA375;LaneA376;LaneA377;LaneA378;LaneA379;LaneA38;LaneA380;LaneA381;LaneA382;LaneA383;LaneA384;LaneA385;LaneA386;LaneA387;LaneA388;LaneA389;LaneA39;LaneA390;LaneA391;LaneA392;LaneA393;LaneA394;LaneA395;LaneA396;LaneA397;LaneA398;LaneA399;LaneA4;LaneA40;LaneA400;LaneA401;LaneA402;LaneA403;LaneA404;LaneA405;LaneA406;LaneA407;LaneA408;LaneA409;LaneA41;LaneA410;LaneA411;LaneA412;LaneA413;LaneA414;LaneA415;LaneA416;LaneA417;LaneA418;LaneA419;LaneA42;LaneA420;LaneA421;LaneA422;LaneA423;LaneA424;LaneA425;LaneA426;LaneA427;LaneA428;LaneA429;LaneA43;LaneA430;LaneA431;LaneA432;LaneA433;LaneA434;LaneA435;LaneA436;LaneA437;LaneA438;LaneA439;LaneA44;LaneA440;LaneA441;LaneA442;LaneA443;LaneA444;LaneA445;LaneA446;LaneA447;LaneA448;LaneA449;LaneA45;LaneA450;LaneA451;LaneA452;LaneA453;LaneA454;LaneA455;LaneA456;LaneA457;LaneA458;LaneA459;LaneA46;LaneA460;LaneA461;LaneA462;LaneA463;LaneA464;LaneA465;LaneA466;LaneA467;LaneA468;LaneA469;LaneA47;LaneA470;LaneA471;LaneA472;LaneA473;LaneA474;LaneA475;LaneA476;LaneA477;LaneA478;LaneA479;LaneA48;LaneA480;LaneA481;LaneA482;LaneA483;LaneA484;LaneA485;LaneA486;LaneA487;LaneA488;LaneA489;LaneA49;LaneA490;LaneA491;LaneA492;LaneA493;LaneA494;LaneA495;LaneA496;LaneA497;LaneA498;LaneA499;LaneA5;LaneA50;LaneA500;LaneA501;LaneA502;LaneA503;LaneA504;LaneA505;LaneA506;LaneA507;LaneA508;LaneA509;LaneA51;LaneA510;LaneA511;LaneA512;LaneA513;LaneA514;LaneA515;LaneA516;LaneA517;LaneA518;LaneA519;LaneA52;LaneA520;LaneA521;LaneA522;LaneA523;LaneA524;LaneA525;LaneA526;LaneA527;LaneA528;LaneA529;LaneA53;LaneA530;LaneA531;LaneA532;LaneA533;LaneA534;LaneA535;LaneA536;LaneA537;LaneA538;LaneA539;LaneA54;LaneA540;LaneA541;LaneA542;LaneA55;LaneA56;LaneA57;LaneA58;LaneA59;LaneA6;LaneA60;LaneA61;LaneA62;LaneA63;LaneA64;LaneA65;LaneA66;LaneA67;LaneA68;LaneA69;LaneA7;LaneA70;LaneA71;LaneA72;LaneA73;LaneA74;LaneA75;LaneA76;LaneA77;LaneA78;LaneA79;LaneA8;LaneA80;LaneA81;LaneA82;LaneA83;LaneA84;LaneA85;LaneA86;LaneA87;LaneA88;LaneA89;LaneA9;LaneA90;LaneA91;LaneA92;LaneA93;LaneA94;LaneA95;LaneA96;LaneA97;LaneA98;LaneA99;Genel Toplam
00;507;448;25;100;112;167;69;415;537;28;251;30;2;13;9;40;127;16;29;31;109;66;143;462;157;55;39;16;24;13;2;29;6;15;525;153;171;710;11;17;73;26;34;7;38;101;128;248;289;27;441;176;242;7;84;157;197;93;25;117;54;279;112;4;61;82;9;211;25;75;21;2;20;39;43;2;90;204;1036;137;68;443;94;27;26;37;65;15;33;451;23;19;260;91;4;20;30;47;8;146;985;16;20;15;14;8;16;6;27;6;48;115;564;39;7;37;115;111;147;114;25;54;15;3328;21;32;87;14;4;15;169;31;32;9;145;277;131;6;2;10;15;30;123;24;66;384;44;4;30;3;2;84;46;113;19;2;28;29;4;41;27;2;2;14;32;87;19;2032;80;45;15;36;15;30;34;25;2;22;266;54;51;14;38;14;9;2;269;38;113;31;129;55;4;15;7;12;78;24;34;91;1341;6;109;2;71;2;22;15;14;42;2;41;29;2;15;4;39;9;55;10;30;10;2113;99;40;240;101;11;4;111;51;6;68;16;111;27;12;8;6;4;16;30;13;9;22;599;46;166;58;3;26;48;14;193;39;144;51;4;28;16;19;32;77;7;3;130;39;399;4;7;73;2;3;26;7;7;2;9;1498;2;31;6;33;33;73;70;22;2;13;164;32;7;22;10;8;43;4;180;3;22;566;84;6;5;48;129;139;28;23;22;2;547;42;25;10;13;3;4;92;10;39;6;484;2;23;4;6;17;24;4;2;32;3;751;150;2;5;6;36;36;3;32;38;42;7;207;9;5;30;2;23;6;2;6;14;5;425;36;20;43;2;2;18;2;2;2;2;18;8;4;13;8;3;4;15;34;6;3;28;7;2;5;3;4;2;2;2;4;34;636;2;4;24;13;15;5;14;43;21;42;765;26;2;22;5;2;2;2;;;;360;;;;;;;;;;;183;;;;;;;;;;;40;;;;;;;;;;;89;5;;;;;;;;;;;24;;;;;;;;;;;328;;;;;;;;;;;103;;;;;;;;;;;496;;;;359;668;417;140;302;121;27;137;37;632;71;2;27;1918;94;370;314;341;131;429;95;497;36;174;77;42;54;70;671;35;17;4;13;54;679;14;70;8;123;154;49;166;140;111;156;182;102;115;167;52433
:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
:01;;4;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;9;;;;;;;;;;;14;;;;;;;;;;;5;;;;;;;;;;;7;;;;;;;;;;;9;;;;;;;;;;;2;;;;;;;;;;;4;;;;;;;;;;;5;5;;;;;;;;;;;14;;;;;;;;;;;6;;;;;;;;;;;5;;;;;;;;;;;4;;;;;;;;;;;6;;;;;;;;;;;3;;;;;;;;;;;3;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;5;;;;;;;;;;;4;;;;;;;;;;;4;;;;;;;;;;;145
:02;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;7;;;;;;;;;;;18;;;;;;;;;;;18;;;;;;;;;;;4;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;7;7;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;6;;;;;;;;;;;4;;;;;;;;;;;5;;;;;;;;;;;13;;;;;;;;;;;13;;;;;;;;;;;12;;;;;;;;;;;23;12;;;;;;;;;;;10;;;;;;;;;;;2;;;;;;;;;;;13;;;;;;;;;;;5;;;;;;;;;;;5;;;;;;;;;;;4;;;;;;;;;;;8;;;;;;;;;;;16;;;;;;;;;;;11;;;;;;;;;;;7;14;;;;;;;;;;;18;;;;;;;;;;;9;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;7;;;;;;;;;;;7;;;;;;;;;;;3;;;;;;;;;;;6;;;;;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;371
:03;;2;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;10;;;;;;;;;;;4;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;7;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;49;20;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;4;;;;;;;;;;;3;;;;;;;;;;;;8;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;25;;;;;;;;;;;2;;;;;;;;;;;10;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;11;;;;;;;;;;;2;;;;;;;;;;;20;;;;44;17;3;25;21;;5;3;2;27;2;2;7;15;4;6;;8;2;11;3;2;2;2;3;3;3;;3;5;2;2;2;6;2;;;;;;;;;;;;;;;651
:04;4;16;5;8;3;3;4;8;5;3;6;2;;3;2;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;54;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;2;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;2;;;;;;;;;;;9;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;22;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;38;;;;6;6;16;;10;;6;;;36;;;9;36;;30;;;2;31;;;9;2;;2;;;7;10;2;;6;13;14;8;2;2;3;18;2;4;5;5;17;10;3;6;5;750
:05;14;8;;3;12;;14;8;27;3;20;3;;4;3;5;2;3;4;13;3;7;5;3;11;4;2;2;4;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;21;;;;;;;;;;;62;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;2;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;21;;;;;11;;;;;;;;36;;;;40;;27;;;;5;;;8;;;;10;6;2;2;;;;4;46;;;3;6;22;;2;;;4;2;6;7;4;864
:06;28;;;;3;;;29;11;;;;;;2;5;;3;2;2;2;16;15;;5;3;;2;5;;;;;3;3;14;8;8;3;3;3;21;11;3;3;;5;26;17;2;2;2;2;3;2;12;;7;;;;;;;;;;8;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;53;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;52;;;35;4;;11;2;;;;;;;;23;4;2;;;;52;;4;3;3;9;5;2;;;;;;11;14;831
:07;6;;;;;;;18;10;;;;;;;;;;4;3;4;27;;8;;;;12;;;;;;;15;;4;11;2;;;;4;2;;;9;15;12;;;5;;;2;34;;7;6;7;22;6;6;2;3;2;4;;4;9;5;2;2;2;5;2;4;3;15;3;2;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;32;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;6;;;;;;;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;9;;;;;;;;;;;9;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;20;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;6;;;;;;;;13;;;;22;;;10;;;;;3;;;;;;;27;5;;;;;32;;2;;;3;;;;;;4;;9;17;831
:08;4;;;;;;;;5;;;;;;;;;;4;;;;;14;6;;;;;;;;;;22;;2;3;;;;;;2;;4;3;;;;;29;;;6;4;15;15;17;;5;29;;;3;;;;4;6;;;;2;;;9;16;2;16;4;3;3;2;4;5;3;8;5;;2;4;11;2;2;3;2;3;3;2;;3;;;;;;;;;;;29;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;36;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;15;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;34;;;;27;;3;39;12;;;;15;;;;;;;28;;;;;;5;;;;;;;;;;11;9;;;;792
